cfname,updateddate,addeddate,reportdate,beds_ward_o,mechvent_o,isolbed_o,beds_ward_v,hfhudcode,icu_o,isolbed_v,icu_v,mechvent_v,id
F.P. URBIZTONDO MEDICAL HOSPITAL INC.,2020-04-18 8:37:15,2020-04-18 8:37:15,2020-04-18,0,0,0,0,DOH000000000037944,0,5,0,0,1942
KARMELLI CLINIC AND HOSPITAL PINILI INC.,2020-04-17 10:36:41,2020-04-17 10:36:41,2020-04-17,0,0,0,0,DOH000000000037945,0,0,0,0,1281
KARMELLI CLINIC AND HOSPITAL PINILI INC.,2020-04-18 12:01:34,2020-04-18 12:01:34,2020-04-18,0,0,0,0,DOH000000000037945,0,0,0,0,2233
KARMELLI CLINIC AND HOSPITAL PINILI INC.,2020-04-19 12:27:03,2020-04-19 12:27:03,2020-04-19,0,0,0,0,DOH000000000037945,0,0,0,0,3118
KARMELLI CLINIC AND HOSPITAL PINILI INC.,2020-04-16 9:20:38,2020-04-16 9:20:38,2020-04-16,0,0,0,0,DOH000000000037945,0,0,0,0,287
LB CRUEL MEDICAL CLINIC,2020-04-18 6:22:22,2020-04-18 6:22:22,2020-04-18,0,0,0,0,DOH000000000037946,0,0,0,0,1595
LB CRUEL MEDICAL CLINIC,2020-04-16 7:16:43,2020-04-16 7:16:43,2020-04-16,0,0,0,0,DOH000000000037946,0,0,0,0,52
LB CRUEL MEDICAL CLINIC,2020-04-17 6:32:23,2020-04-17 6:32:23,2020-04-17,0,0,0,0,DOH000000000037946,0,0,0,0,743
LB CRUEL MEDICAL CLINIC,2020-04-19 6:09:43,2020-04-19 6:09:43,2020-04-19,0,0,0,0,DOH000000000037946,0,0,0,0,2457
"DIOCESAN MEDICAL FOUNDATION OF SAN ANTONIO DE PADUA, INC.",2020-04-19 6:56:41,2020-04-19 6:56:41,2020-04-19,0,0,0,0,DOH000000000037947,0,0,0,0,2481
"DIOCESAN MEDICAL FOUNDATION OF SAN ANTONIO DE PADUA, INC.",2020-04-17 7:56:52,2020-04-17 7:56:52,2020-04-17,0,0,0,0,DOH000000000037947,0,0,0,0,858
"DIOCESAN MEDICAL FOUNDATION OF SAN ANTONIO DE PADUA, INC.",2020-04-18 7:44:30,2020-04-18 7:44:30,2020-04-18,0,0,0,0,DOH000000000037947,0,0,0,0,1698
FCC INFIRMARY,2020-04-18 9:09:58,2020-04-18 9:09:58,2020-04-18,0,0,0,0,DOH000000000038004,0,0,0,0,2029
FCC INFIRMARY,2020-04-16 13:37:28,2020-04-16 13:37:28,2020-04-16,0,0,0,0,DOH000000000038004,0,2,0,0,519
FCC INFIRMARY,2020-04-17 11:59:35,2020-04-17 11:59:35,2020-04-17,0,0,0,0,DOH000000000038004,0,0,0,0,1358
GRUPO MEDICO DE DIOS INC.,2020-04-19 8:11:17,2020-04-19 8:11:17,2020-04-19,0,0,0,0,DOH000000000038007,0,4,0,0,2691
GRUPO MEDICO DE DIOS INC.,2020-04-17 9:40:20,2020-04-17 9:40:20,2020-04-17,0,0,0,0,DOH000000000038007,0,4,0,0,1202
GRUPO MEDICO DE DIOS INC.,2020-04-18 8:50:45,2020-04-18 8:50:45,2020-04-18,0,0,0,0,DOH000000000038007,0,4,0,0,1979
GRUPO MEDICO DE DIOS INC.,2020-04-16 10:20:12,2020-04-16 10:20:12,2020-04-16,0,0,0,0,DOH000000000038007,0,4,0,0,356
SALUBRIS INC.,2020-04-17 9:43:06,2020-04-17 9:43:06,2020-04-17,0,0,0,5,DOH000000000038008,0,8,0,0,1209
SALUBRIS INC.,2020-04-18 7:59:04,2020-04-18 7:59:04,2020-04-18,0,0,0,5,DOH000000000038008,0,8,0,0,1751
SALUBRIS INC.,2020-04-16 15:37:35,2020-04-16 15:37:35,2020-04-16,0,0,0,5,DOH000000000038008,0,8,0,0,618
SALUBRIS INC.,2020-04-19 7:40:26,2020-04-19 7:40:26,2020-04-19,0,0,0,5,DOH000000000038008,0,8,0,0,2563
"METRO ILOILO HOSPITAL AND MEDICAL CENTER, INC",2020-04-16 10:46:20,2020-04-16 10:46:20,2020-04-16,0,1,5,0,DOH000000000038114,0,9,0,0,385
DARAGA DOCTORS HOSPITAL,2020-04-16 8:43:25,2020-04-16 8:43:25,2020-04-16,0,0,0,0,DOH000000000038151,0,0,0,0,219
DARAGA DOCTORS HOSPITAL,2020-04-18 8:08:43,2020-04-18 8:08:43,2020-04-18,0,0,0,0,DOH000000000038151,0,0,0,0,1822
DARAGA DOCTORS HOSPITAL,2020-04-19 8:16:07,2020-04-19 8:16:07,2020-04-19,0,0,0,0,DOH000000000038151,0,0,0,0,2720
DARAGA DOCTORS HOSPITAL,2020-04-17 8:11:58,2020-04-17 8:11:58,2020-04-17,0,0,0,0,DOH000000000038151,0,0,0,0,937
HOLY MARY WOMEN AND CHILDREN'S HOSPITAL,2020-04-17 7:17:21,2020-04-17 7:17:21,2020-04-17,0,0,1,0,DOH000000000038207,0,1,0,0,779
HOLY MARY WOMEN AND CHILDREN'S HOSPITAL,2020-04-18 7:09:59,2020-04-18 7:09:59,2020-04-18,0,0,1,0,DOH000000000038207,0,1,0,0,1638
HOLY MARY WOMEN AND CHILDREN'S HOSPITAL,2020-04-19 7:15:09,2020-04-19 7:15:09,2020-04-19,0,0,1,0,DOH000000000038207,0,1,0,0,2515
BATARAZA DISTRICT HOSPITAL,2020-04-17 7:41:10,2020-04-17 7:41:10,2020-04-17,0,0,0,15,DOH000000000038213,0,15,15,0,818
VILLANUEVA-TANCHULING MATERNITY AND GENERAL HOSPITAL INCORPO,2020-04-18 11:57:25,2020-04-18 11:57:25,2020-04-18,0,0,0,0,DOH000000000038399,0,0,0,0,2231
VILLANUEVA-TANCHULING MATERNITY AND GENERAL HOSPITAL INCORPO,2020-04-19 6:38:43,2020-04-19 6:38:43,2020-04-19,0,0,0,0,DOH000000000038399,0,0,0,0,2471
EROS MEDICAL CLINIC,2020-04-18 13:25:27,2020-04-18 13:25:27,2020-04-18,0,0,0,0,DOH000000000038403,0,1,0,0,2274
EROS MEDICAL CLINIC,2020-04-17 11:31:21,2020-04-17 11:31:21,2020-04-17,0,0,0,0,DOH000000000038403,0,1,0,0,1339
EROS MEDICAL CLINIC,2020-04-16 15:26:54,2020-04-16 15:26:54,2020-04-16,0,0,0,0,DOH000000000038403,0,1,0,0,611
EROS MEDICAL CLINIC,2020-04-19 7:29:46,2020-04-19 7:29:46,2020-04-19,0,0,0,0,DOH000000000038403,0,1,0,0,2539
"SURIGAO DOCTORS' HOSPITAL, INC.",2020-04-16 13:55:48,2020-04-16 13:55:48,2020-04-16,0,0,0,0,DOH000000000038480,0,0,0,0,532
"SURIGAO DOCTORS' HOSPITAL, INC.",2020-04-18 13:58:52,2020-04-18 13:58:52,2020-04-18,0,0,0,0,DOH000000000038480,0,2,0,0,2295
"SURIGAO DOCTORS' HOSPITAL, INC.",2020-04-17 17:28:47,2020-04-17 17:28:47,2020-04-17,0,0,0,0,DOH000000000038480,0,2,0,0,1554
DR. JOSE RIZAL DISTRICT HOSPITAL,2020-04-18 20:54:14,2020-04-18 20:54:14,2020-04-18,0,0,0,0,DOH000000000038482,0,4,0,0,2431
DR. JOSE RIZAL DISTRICT HOSPITAL,2020-04-17 15:42:12,2020-04-17 15:42:12,2020-04-17,0,0,0,0,DOH000000000038482,0,4,0,0,1493
PNP PRO8 INFIRMARY,2020-04-16 21:55:07,2020-04-16 21:55:07,2020-04-16,0,0,0,0,DOH000000000038484,0,0,0,0,718
PNP PRO8 INFIRMARY,2020-04-19 11:38:45,2020-04-19 11:38:45,2020-04-19,0,0,0,0,DOH000000000038484,0,0,0,0,3068
ST. PAUL HOSPITAL,2020-04-17 13:56:38,2020-04-17 13:56:38,2020-04-17,0,0,0,0,DOH000000000038491,0,1,0,0,1434
"DE VERA MEDICAL CENTER, INC.",2020-04-19 10:04:40,2020-04-19 10:04:40,2020-04-19,0,0,0,0,DOH000000000038493,0,0,0,0,2980
HORIZON MEDICAL CLINIC,2020-04-19 8:34:18,2020-04-19 8:34:18,2020-04-19,0,0,0,0,DOH000000000038494,0,0,0,0,2796
HORIZON MEDICAL CLINIC,2020-04-18 10:40:43,2020-04-18 10:40:43,2020-04-18,0,0,0,0,DOH000000000038494,0,0,0,0,2153
HORIZON MEDICAL CLINIC,2020-04-17 8:00:34,2020-04-17 8:00:34,2020-04-17,0,0,0,0,DOH000000000038494,0,0,0,0,875
HORIZON MEDICAL CLINIC,2020-04-16 13:26:12,2020-04-16 13:26:12,2020-04-16,0,0,0,0,DOH000000000038494,0,0,0,0,514
JESUS HEALING HANDS INFIRMARY INC.,2020-04-17 9:03:22,2020-04-17 9:03:22,2020-04-17,0,0,0,0,DOH000000000038511,0,0,0,0,1137
JESUS HEALING HANDS INFIRMARY INC.,2020-04-19 8:03:38,2020-04-19 8:03:38,2020-04-19,0,0,0,0,DOH000000000038511,0,0,0,0,2646
JESUS HEALING HANDS INFIRMARY INC.,2020-04-16 10:26:47,2020-04-16 10:26:47,2020-04-16,0,0,0,0,DOH000000000038511,0,0,0,0,360
SAN SEBASTIAN DISTRICT HOSPITAL,2020-04-19 9:27:50,2020-04-19 9:27:50,2020-04-19,0,0,0,0,DOH000000000000232,0,10,0,1,2920
SAN SEBASTIAN DISTRICT HOSPITAL,2020-04-17 6:40:50,2020-04-17 6:40:50,2020-04-17,0,0,0,0,DOH000000000000232,0,10,0,1,746
SAN SEBASTIAN DISTRICT HOSPITAL,2020-04-18 7:07:44,2020-04-18 7:07:44,2020-04-18,0,0,0,0,DOH000000000000232,0,10,0,1,1636
SAN SEBASTIAN DISTRICT HOSPITAL,2020-04-16 10:02:04,2020-04-16 10:02:04,2020-04-16,0,0,0,0,DOH000000000000232,0,10,0,1,335
Ospital ng Palawan,2020-04-17 13:11:58,2020-04-17 13:11:58,2020-04-17,0,0,4,4,DOH000000000000236,0,1,4,1,1401
Ospital ng Palawan,2020-04-18 7:50:44,2020-04-18 7:50:44,2020-04-18,0,0,4,4,DOH000000000000236,0,1,4,1,1718
Ospital ng Palawan,2020-04-19 9:31:55,2020-04-19 9:31:55,2020-04-19,0,0,5,4,DOH000000000000236,0,0,4,1,2926
DAVAO REGIONAL MEDICAL CENTER,2020-04-17 21:10:22,2020-04-17 21:10:22,2020-04-17,0,1,10,0,DOH000000000000268,1,30,1,1,1577
BICOL REGIONAL TRAINING AND TEACHING HOSPITAL,2020-04-17 11:10:14,2020-04-17 11:10:14,2020-04-17,1,0,5,4,DOH000000000000270,0,11,4,1,1313
BICOL REGIONAL TRAINING AND TEACHING HOSPITAL,2020-04-18 10:20:01,2020-04-18 10:20:01,2020-04-18,1,0,5,4,DOH000000000000270,0,16,4,1,2125
BICOL REGIONAL TRAINING AND TEACHING HOSPITAL,2020-04-16 10:40:34,2020-04-16 10:40:34,2020-04-16,1,0,5,4,DOH000000000000270,0,16,4,1,376
BICOL REGIONAL TRAINING AND TEACHING HOSPITAL,2020-04-19 6:49:13,2020-04-19 6:49:13,2020-04-19,1,0,5,4,DOH000000000000270,1,11,3,1,2476
Bicol Sanitarium,2020-04-19 7:04:42,2020-04-19 7:04:42,2020-04-19,0,0,0,7,DOH000000000000277,0,2,0,1,2494
Bicol Sanitarium,2020-04-17 7:03:01,2020-04-17 7:03:01,2020-04-17,0,0,0,7,DOH000000000000277,0,2,0,1,762
Bicol Sanitarium,2020-04-16 7:49:55,2020-04-16 7:49:55,2020-04-16,0,0,0,2,DOH000000000000277,0,7,0,1,100
Bicol Sanitarium,2020-04-18 7:04:07,2020-04-18 7:04:07,2020-04-18,0,0,0,7,DOH000000000000277,0,2,0,1,1632
Culion Sanitarium and General Hospital,2020-04-18 17:39:29,2020-04-18 17:39:29,2020-04-18,0,1,1,4,DOH000000000000279,1,17,2,1,2402
DUBONGCOS MEDICAL CLINIC,2020-04-16 17:55:12,2020-04-16 17:55:12,2020-04-16,0,0,0,2,DOH000000000000289,0,2,2,1,693
DUBONGCOS MEDICAL CLINIC,2020-04-18 17:42:01,2020-04-18 17:42:01,2020-04-18,0,0,0,2,DOH000000000000289,0,2,2,1,2404
DUBONGCOS MEDICAL CLINIC,2020-04-17 12:11:30,2020-04-17 12:11:30,2020-04-17,0,0,0,2,DOH000000000000289,0,2,2,1,1366
DEL CARMEN MEDICAL CLINIC AND HOSPITAL,2020-04-16 16:03:29,2020-04-16 16:03:29,2020-04-16,0,0,4,0,DOH000000000000301,0,4,1,1,638
DEL CARMEN MEDICAL CLINIC AND HOSPITAL,2020-04-19 11:53:26,2020-04-19 11:53:26,2020-04-19,0,0,0,0,DOH000000000000301,0,4,0,1,3092
DEL CARMEN MEDICAL CLINIC AND HOSPITAL,2020-04-17 8:10:36,2020-04-17 8:10:36,2020-04-17,0,0,0,0,DOH000000000000301,0,0,0,1,929
DEL CARMEN MEDICAL CLINIC AND HOSPITAL,2020-04-18 8:27:32,2020-04-18 8:27:32,2020-04-18,0,0,0,0,DOH000000000000301,0,4,0,1,1916
"IMMACULATE HEART OF MARY HOSPITAL, INC.",2020-04-17 12:29:26,2020-04-17 12:29:26,2020-04-17,0,0,0,3,DOH000000000000357,0,0,0,1,1374
"IMMACULATE HEART OF MARY HOSPITAL, INC.",2020-04-18 6:48:00,2020-04-18 6:48:00,2020-04-18,0,0,0,3,DOH000000000000357,0,0,0,1,1614
"IMMACULATE HEART OF MARY HOSPITAL, INC.",2020-04-16 7:01:59,2020-04-16 7:01:59,2020-04-16,0,0,0,3,DOH000000000000357,0,0,0,1,42
"IMMACULATE HEART OF MARY HOSPITAL, INC.",2020-04-19 10:22:46,2020-04-19 10:22:46,2020-04-19,0,0,0,3,DOH000000000000357,0,0,0,1,3002
PALAWAN MEDICAL MISSION GROUP MULTIPURPOSE COOPERATIVE (PMMG,2020-04-19 8:56:42,2020-04-19 8:56:42,2020-04-19,0,0,3,0,DOH000000000000361,0,2,0,1,2864
"LEON D. HERNANDEZ MEMORIAL HOSPITAL, INC.",2020-04-16 6:47:25,2020-04-16 6:47:25,2020-04-16,0,0,0,0,DOH000000000000389,0,2,0,1,33
"LEON D. HERNANDEZ MEMORIAL HOSPITAL, INC.",2020-04-19 7:13:43,2020-04-19 7:13:43,2020-04-19,0,0,0,0,DOH000000000000389,0,2,0,1,2512
"LEON D. HERNANDEZ MEMORIAL HOSPITAL, INC.",2020-04-17 7:00:17,2020-04-17 7:00:17,2020-04-17,0,0,0,0,DOH000000000000389,0,2,0,1,760
"LEON D. HERNANDEZ MEMORIAL HOSPITAL, INC.",2020-04-18 8:13:51,2020-04-18 8:13:51,2020-04-18,0,0,0,0,DOH000000000000389,0,2,0,1,1850
"NUEVA ECIJA GOOD SAMARITAN HEALTH SYSTEM, INC. (EXT.)",2020-04-18 6:31:04,2020-04-18 6:31:04,2020-04-18,3,0,0,1,DOH000000000000392,0,1,1,1,1600
"NUEVA ECIJA GOOD SAMARITAN HEALTH SYSTEM, INC. (EXT.)",2020-04-16 8:09:25,2020-04-16 8:09:25,2020-04-16,4,0,0,0,DOH000000000000392,0,1,1,1,142
"NUEVA ECIJA GOOD SAMARITAN HEALTH SYSTEM, INC. (EXT.)",2020-04-19 7:08:17,2020-04-19 7:08:17,2020-04-19,3,0,0,1,DOH000000000000392,0,1,1,1,2501
"NUEVA ECIJA GOOD SAMARITAN HEALTH SYSTEM, INC. (EXT.)",2020-04-17 5:55:06,2020-04-17 5:55:06,2020-04-17,4,0,0,0,DOH000000000000392,0,1,1,1,727
Basilan General Hospital,2020-04-17 7:02:56,2020-04-17 7:02:56,2020-04-17,0,0,0,0,DOH000000000000426,0,3,2,1,761
Basilan General Hospital,2020-04-16 18:34:40,2020-04-16 6:53:47,2020-04-16,0,0,0,0,DOH000000000000426,0,3,2,1,39
Basilan General Hospital,2020-04-19 8:29:48,2020-04-19 8:29:48,2020-04-19,0,0,2,0,DOH000000000000426,0,1,2,1,2776
CIUDAD MEDICAL ZAMBOANGA,2020-04-16 10:07:01,2020-04-16 10:07:01,2020-04-16,0,0,0,0,DOH000000000000449,0,3,0,1,343
CIUDAD MEDICAL ZAMBOANGA,2020-04-19 7:54:24,2020-04-19 7:54:24,2020-04-19,0,0,0,0,DOH000000000000449,0,3,0,1,2610
CIUDAD MEDICAL ZAMBOANGA,2020-04-17 9:02:42,2020-04-17 9:02:42,2020-04-17,0,0,0,0,DOH000000000000449,0,3,0,1,1135
CIUDAD MEDICAL ZAMBOANGA,2020-04-18 8:26:27,2020-04-18 8:26:27,2020-04-18,0,0,0,0,DOH000000000000449,0,3,0,1,1909
DON JOSE S. MONFORT MEDICAL CENTER EXTENSION HOSPITAL,2020-04-17 18:27:42,2020-04-17 18:27:42,2020-04-17,1,0,0,4,DOH000000000000481,0,1,0,1,1564
DON JOSE S. MONFORT MEDICAL CENTER EXTENSION HOSPITAL,2020-04-18 21:52:37,2020-04-18 21:52:37,2020-04-18,1,0,0,4,DOH000000000000481,0,1,0,1,2436
DON JOSE S. MONFORT MEDICAL CENTER EXTENSION HOSPITAL,2020-04-16 19:13:13,2020-04-16 19:13:13,2020-04-16,1,0,0,4,DOH000000000000481,0,1,0,1,708
DON JOSE S. MONFORT MEDICAL CENTER EXTENSION HOSPITAL,2020-04-15 19:42:25,2020-04-15 19:42:25,2020-04-15,1,0,0,4,DOH000000000000481,0,1,0,1,8
DR. JOSE FABELLA MEMORIAL HOSPITAL,2020-04-19 13:54:31,2020-04-19 13:54:31,2020-04-19,4,1,12,0,DOH000000000000499,0,0,0,1,3173
"DR. UY HOSPITAL, INC.",2020-04-18 8:37:06,2020-04-18 8:37:06,2020-04-18,0,0,0,0,DOH000000000000522,0,1,1,1,1941
"DR. UY HOSPITAL, INC.",2020-04-16 8:28:54,2020-04-16 8:28:54,2020-04-16,0,0,0,0,DOH000000000000522,0,1,1,1,180
"DR. UY HOSPITAL, INC.",2020-04-19 8:33:40,2020-04-19 8:33:40,2020-04-19,0,0,0,0,DOH000000000000522,0,1,1,1,2791
"DR. UY HOSPITAL, INC.",2020-04-17 8:21:22,2020-04-17 8:21:22,2020-04-17,0,0,0,0,DOH000000000000522,0,1,1,1,986
ILIGAN MEDICAL CENTER HOSPITAL,2020-04-17 16:37:22,2020-04-17 16:37:22,2020-04-17,0,0,0,0,DOH000000000000574,0,3,0,1,1527
ILIGAN MEDICAL CENTER HOSPITAL,2020-04-19 9:07:19,2020-04-19 9:07:19,2020-04-19,0,0,0,4,DOH000000000000574,0,3,1,1,2881
ILIGAN MEDICAL CENTER HOSPITAL,2020-04-18 9:25:27,2020-04-18 9:25:27,2020-04-18,0,0,0,0,DOH000000000000574,0,3,0,1,2061
JOSE R. REYES MEMORIAL MEDICAL CENTER,2020-04-19 11:50:37,2020-04-19 11:50:37,2020-04-19,19,1,5,0,DOH000000000000586,0,0,0,1,3089
KAPATAGAN PROVINCIAL HOSPITAL,2020-04-16 8:58:39,2020-04-16 8:58:39,2020-04-16,0,0,0,0,DOH000000000000597,0,6,0,1,250
KAPATAGAN PROVINCIAL HOSPITAL,2020-04-18 18:22:08,2020-04-18 18:22:08,2020-04-18,0,0,0,0,DOH000000000000597,0,6,0,1,2415
KAPATAGAN PROVINCIAL HOSPITAL,2020-04-19 9:17:48,2020-04-19 9:17:48,2020-04-19,0,0,0,0,DOH000000000000597,0,6,0,1,2902
KAPATAGAN PROVINCIAL HOSPITAL,2020-04-17 13:25:53,2020-04-17 13:25:19,2020-04-17,0,0,0,0,DOH000000000000597,0,6,0,1,1411
LABO DISTRICT HOSPITAL,2020-04-16 8:09:34,2020-04-16 8:09:34,2020-04-16,0,0,1,16,DOH000000000000607,0,36,0,1,143
"LAS PI?AS DOCTORS HOSPITAL, INC.",2020-04-19 10:49:55,2020-04-19 10:49:55,2020-04-19,2,1,8,0,DOH000000000000614,2,0,0,1,3025
LAS PI?AS GENERAL HOSPITAL & SATELLITE TRAUMA CENTER,2020-04-18 8:50:00,2020-04-18 8:50:00,2020-04-18,5,0,24,0,DOH000000000000615,0,1,0,1,1976
LAS PI?AS GENERAL HOSPITAL & SATELLITE TRAUMA CENTER,2020-04-19 10:20:20,2020-04-19 10:20:20,2020-04-19,4,0,26,0,DOH000000000000615,0,0,0,1,3000
"LA VI?A GENERAL HOSPITAL, INC.",2020-04-17 15:34:47,2020-04-17 15:34:47,2020-04-17,0,0,0,2,DOH000000000000616,0,2,0,1,1485
MADONNA AND CHILD HOSPITAL,2020-04-16 15:00:34,2020-04-16 15:00:34,2020-04-16,0,1,0,0,DOH000000000000630,0,0,0,1,590
MADONNA AND CHILD HOSPITAL,2020-04-18 8:49:03,2020-04-18 8:49:03,2020-04-18,0,1,0,0,DOH000000000000630,0,0,0,1,1973
MISAMIS OCCIDENTAL PROVINCIAL HOSPITAL,2020-04-16 11:24:13,2020-04-16 11:24:13,2020-04-16,0,1,0,44,DOH000000000000676,0,44,0,1,410
MISAMIS OCCIDENTAL PROVINCIAL HOSPITAL,2020-04-17 10:19:38,2020-04-17 10:19:38,2020-04-17,0,1,0,44,DOH000000000000676,0,44,0,1,1256
"NOTRE DAME HOSPITAL AND SCHOOL OF MIDWIFERY, INC.",2020-04-18 8:12:13,2020-04-18 8:12:13,2020-04-18,0,0,0,0,DOH000000000000684,0,1,1,1,1841
"NOTRE DAME HOSPITAL AND SCHOOL OF MIDWIFERY, INC.",2020-04-19 8:45:27,2020-04-19 8:45:27,2020-04-19,0,0,0,0,DOH000000000000684,0,1,1,1,2831
"NOTRE DAME HOSPITAL AND SCHOOL OF MIDWIFERY, INC.",2020-04-16 7:47:43,2020-04-16 7:47:43,2020-04-16,0,0,0,0,DOH000000000000684,0,1,0,1,96
"NOTRE DAME HOSPITAL AND SCHOOL OF MIDWIFERY, INC.",2020-04-17 8:09:51,2020-04-17 8:09:51,2020-04-17,0,0,0,0,DOH000000000000684,0,1,1,1,924
PHILIPPINE HEART CENTER,2020-04-19 11:43:43,2020-04-19 11:43:43,2020-04-19,0,4,29,0,DOH000000000000714,10,29,5,1,3077
"DO?A REMEDIOS TRINIDAD-ROMUALDEZ MEDICAL FOUNDATION, INC. (f",2020-04-18 12:00:20,2020-04-18 12:00:20,2020-04-18,0,0,0,0,DOH000000000000722,0,1,0,1,2232
"DO?A REMEDIOS TRINIDAD-ROMUALDEZ MEDICAL FOUNDATION, INC. (f",2020-04-16 12:52:56,2020-04-16 12:52:56,2020-04-16,0,0,0,0,DOH000000000000722,0,1,0,1,486
"DO?A REMEDIOS TRINIDAD-ROMUALDEZ MEDICAL FOUNDATION, INC. (f",2020-04-19 12:07:47,2020-04-19 12:07:47,2020-04-19,0,0,0,0,DOH000000000000722,0,1,0,1,3103
"DO?A REMEDIOS TRINIDAD-ROMUALDEZ MEDICAL FOUNDATION, INC. (f",2020-04-17 9:37:33,2020-04-17 9:37:33,2020-04-17,0,0,0,0,DOH000000000000722,0,1,0,1,1197
"ST. CLARE?S MEDICAL CENTER, INC.",2020-04-16 16:54:48,2020-04-16 16:54:48,2020-04-16,0,0,0,1,DOH000000000000758,0,1,1,1,670
"ST. CLARE?S MEDICAL CENTER, INC.",2020-04-17 16:20:10,2020-04-17 16:20:10,2020-04-17,1,0,0,0,DOH000000000000758,0,2,1,1,1515
"ST. CLARE?S MEDICAL CENTER, INC.",2020-04-18 16:13:32,2020-04-18 16:13:32,2020-04-18,1,0,1,0,DOH000000000000758,0,2,1,1,2361
ST. DOMINIC MEDICAL CENTER INC.,2020-04-17 9:08:18,2020-04-17 9:08:18,2020-04-17,0,0,5,0,DOH000000000000760,0,0,1,1,1148
ST. DOMINIC MEDICAL CENTER INC.,2020-04-16 12:01:33,2020-04-16 12:01:33,2020-04-16,0,0,5,0,DOH000000000000760,0,0,1,1,450
"ST. ELIZABETH HOSPITAL, INC.",2020-04-17 10:43:00,2020-04-17 10:43:00,2020-04-17,0,1,2,1,DOH000000000000761,0,3,0,1,1289
"ST. ELIZABETH HOSPITAL, INC.",2020-04-18 10:31:49,2020-04-18 10:31:49,2020-04-18,0,1,1,1,DOH000000000000761,0,4,0,1,2138
SURIGAO MEDICAL CENTER INC.,2020-04-18 7:22:47,2020-04-18 7:22:47,2020-04-18,0,0,0,0,DOH000000000000787,0,2,0,1,1659
SURIGAO MEDICAL CENTER INC.,2020-04-17 7:34:05,2020-04-17 7:34:05,2020-04-17,0,0,0,0,DOH000000000000787,0,2,0,1,809
SURIGAO MEDICAL CENTER INC.,2020-04-19 8:10:34,2020-04-19 8:10:34,2020-04-19,0,0,0,0,DOH000000000000787,0,2,0,1,2687
SURIGAO MEDICAL CENTER INC.,2020-04-16 11:39:13,2020-04-16 11:39:13,2020-04-16,0,0,0,0,DOH000000000000787,0,2,0,1,421
HEART OF JESUS HOSPITAL,2020-04-17 10:37:33,2020-04-17 10:37:33,2020-04-17,0,0,1,0,DOH000000000001686,0,2,0,1,1282
HEART OF JESUS HOSPITAL,2020-04-18 10:49:38,2020-04-18 10:49:38,2020-04-18,0,0,2,0,DOH000000000001686,0,1,0,1,2163
HEART OF JESUS HOSPITAL,2020-04-19 9:56:23,2020-04-19 9:56:23,2020-04-19,0,0,2,0,DOH000000000001686,0,1,0,1,2968
HEART OF JESUS HOSPITAL,2020-04-16 16:27:38,2020-04-16 16:27:38,2020-04-16,0,0,1,0,DOH000000000001686,0,2,0,1,654
Conner District Hospital,2020-04-18 6:40:36,2020-04-18 6:40:36,2020-04-18,0,0,1,2,DOH000000000001788,0,3,0,1,1606
Conner District Hospital,2020-04-17 8:12:22,2020-04-17 8:12:22,2020-04-17,0,0,1,2,DOH000000000001788,0,3,0,1,939
NORTHERN PALAWAN PROVINCIAL HOSPITAL,2020-04-18 11:29:50,2020-04-18 11:29:50,2020-04-18,0,0,0,12,DOH000000000001819,0,0,0,1,2199
NORTHERN PALAWAN PROVINCIAL HOSPITAL,2020-04-16 10:52:45,2020-04-16 10:52:45,2020-04-16,0,0,0,12,DOH000000000001819,0,0,0,1,388
"UNIVERSIDAD DE STA. ISABEL DE NAGA, INC.",2020-04-16 8:21:56,2020-04-16 8:21:56,2020-04-16,0,0,0,0,DOH000000000001873,0,2,0,1,167
"UNIVERSIDAD DE STA. ISABEL DE NAGA, INC.",2020-04-19 10:11:03,2020-04-19 10:11:03,2020-04-19,0,0,0,0,DOH000000000001873,0,2,0,1,2986
"UNIVERSIDAD DE STA. ISABEL DE NAGA, INC.",2020-04-17 8:38:22,2020-04-17 8:38:22,2020-04-17,0,0,0,0,DOH000000000001873,0,2,0,1,1062
"UNIVERSIDAD DE STA. ISABEL DE NAGA, INC.",2020-04-18 10:28:47,2020-04-18 10:28:47,2020-04-18,0,0,0,0,DOH000000000001873,0,2,0,1,2134
"ALLAH VALLEY MEDICAL SPECIALISTS CENTER, INC.",2020-04-17 8:48:51,2020-04-17 8:48:51,2020-04-17,0,0,0,0,DOH000000000001902,0,0,0,1,1097
"ALLAH VALLEY MEDICAL SPECIALISTS CENTER, INC.",2020-04-19 8:07:23,2020-04-19 8:07:23,2020-04-19,0,0,0,0,DOH000000000001902,0,0,0,1,2670
"ALLAH VALLEY MEDICAL SPECIALISTS CENTER, INC.",2020-04-18 8:08:23,2020-04-18 8:08:23,2020-04-18,0,0,0,0,DOH000000000001902,0,0,0,1,1820
MAGALLANES MEDICARE COMMUNITY HOSPITAL,2020-04-17 6:12:07,2020-04-17 6:12:07,2020-04-17,0,0,0,0,DOH000000000002025,0,1,0,1,736
GOV. ROQUE B. ABLAN SR. MEMORIAL HOSPITAL,2020-04-19 7:50:10,2020-04-19 7:50:10,2020-04-19,0,0,0,0,DOH000000000002073,0,9,2,1,2587
GOV. ROQUE B. ABLAN SR. MEMORIAL HOSPITAL,2020-04-18 8:11:58,2020-04-18 8:11:58,2020-04-18,0,0,1,0,DOH000000000002073,0,8,2,1,1839
